"Est","date","YJday","hh.mm.ss","bat.Volts","Temp_Aire","H_relativa","P_atm","Precip_Total","Vel_Viento","Dir_Viento","Irradiancia","Alt_NieveD","T_Suelo"
"C7300810","2018-01-04 21:00:00",2018004,"21:00:00",13.14,9.37,45.91,500.6,0,22.67,49.49,0,0,NA
"C7300810","2018-01-04 22:00:00",2018004,"22:00:00",13.09,8.64,47.34,500.6,0,24.49,25.29,0,0,NA
"C7300810","2018-01-04 23:00:00",2018004,"23:00:00",13.08,8.35,44.91,500.6,0,23.49,340.3,0,0,NA
"C7300810","2018-01-05 00:00:00",2018005,"00:00:00",13.04,8.35,39.27,500.6,0,26.88,177.3,0,0,NA
"C7300810","2018-01-05 01:00:00",2018005,"01:00:00",13.04,8.35,34.85,500.6,0,26.35,354.5,0,0,NA
"C7300810","2018-01-05 02:00:00",2018005,"02:00:00",13.03,7.6,43.59,500.6,0,28.72,30.59,0,0,NA
"C7300810","2018-01-05 03:00:00",2018005,"03:00:00",13.02,7.41,44,500.6,0,30.81,5.59,0,0,NA
"C7300810","2018-01-05 04:00:00",2018005,"04:00:00",13.02,8.02,33.53,500.6,0,31.89,9.47,0,0,NA
"C7300810","2018-01-05 05:00:00",2018005,"05:00:00",13.01,7.88,32.89,500.6,0,31.39,18.56,0,0,NA
"C7300810","2018-01-05 06:00:00",2018005,"06:00:00",13,7.79,32.89,500.6,0,29.08,49.53,0,0,NA
"C7300810","2018-01-05 07:00:00",2018005,"07:00:00",13,7.79,31.17,500.6,0,30.36,59.67,0.02,0,NA
"C7300810","2018-01-05 08:00:00",2018005,"08:00:00",13.16,8.73,30.56,500.7,0,32.76,31.26,0.25,0,NA
"C7300810","2018-01-05 09:00:00",2018005,"09:00:00",13.32,9.28,29.91,500.8,0,34.79,35.57,0.52,0,NA
"C7300810","2018-01-05 10:00:00",2018005,"10:00:00",13.59,10.07,29.37,500.8,0,29.99,0.14,0.34,0,NA
"C7300810","2018-01-05 11:00:00",2018005,"11:00:00",13.85,10.78,28.62,500.8,0,30.86,2.83,1.28,0,NA
"C7300810","2018-01-05 12:00:00",2018005,"12:00:00",13.82,11.82,27.75,500.8,0,27.86,2.49,1.33,0,NA
"C7300810","2018-01-05 13:00:00",2018005,"13:00:00",13.82,12.75,29.9,500.8,0,28.25,354.5,1.24,0,NA
"C7300810","2018-01-05 14:00:00",2018005,"14:00:00",13.79,13.87,29.8,500.8,0,29.08,61.07,1.19,0,NA
"C7300810","2018-01-05 15:00:00",2018005,"15:00:00",13.79,12.55,33.14,500.8,0,33.62,9.56,1.16,0,NA
"C7300810","2018-01-05 16:00:00",2018005,"16:00:00",13.79,12.45,35.94,500.8,0,33.77,37.23,1.05,0,NA
"C7300810","2018-01-05 17:00:00",2018005,"17:00:00",13.79,13.87,33.44,500.8,0,26.72,48.92,0.9,0,NA
"C7300810","2018-01-05 18:00:00",2018005,"18:00:00",13.82,11.13,43.5,500.7,0,23.84,5.42,0.15,0,NA
"C7300810","2018-01-05 19:00:00",2018005,"19:00:00",13.75,10.31,48.68,500.6,0,26.29,13.52,0.21,0,NA
"C7300810","2018-01-05 20:00:00",2018005,"20:00:00",13.44,9.98,47.46,500.6,0,27.08,2.49,0.03,0,NA
"C7300810","2018-01-05 21:00:00",2018005,"21:00:00",13.13,9.29,50.95,500.6,0,27.8,19.15,0,0,NA
"C7300810","2018-01-05 22:00:00",2018005,"22:00:00",13.07,9.02,51.39,500.6,0,23.91,13.93,0,0,NA
"C7300810","2018-01-05 23:00:00",2018005,"23:00:00",13.05,9.72,37.18,500.6,0,21.91,288.1,0,0,NA
"C7300810","2018-01-06 00:00:00",2018006,"00:00:00",13.03,9.3,36.2,500.6,0,17.01,10.5,0,0,NA
"C7300810","2018-01-06 01:00:00",2018006,"01:00:00",12.96,6.18,38.36,500.6,0,16.09,74.99,0,0,NA
"C7300810","2018-01-06 02:00:00",2018006,"02:00:00",12.99,6.56,24.11,500.6,0,16.49,51.11,0,0,NA
"C7300810","2018-01-06 03:00:00",2018006,"03:00:00",12.94,4.54,25.87,500.6,0,17.05,67.86,0,0,NA
"C7300810","2018-01-06 04:00:00",2018006,"04:00:00",12.94,4.68,66.94,500.6,0,12.52,169.1,0,0,NA
"C7300810","2018-01-06 05:00:00",2018006,"05:00:00",12.9,2.61,67.39,500.5,0,3.73,39.95,0,0,NA
"C7300810","2018-01-06 06:00:00",2018006,"06:00:00",12.9,1.4,57.91,500.6,0,7.89,50.71,0,0,NA
"C7300810","2018-01-06 07:00:00",2018006,"07:00:00",12.88,2.82,27.84,500.6,0,10.65,30.89,0.01,0,NA
"C7300810","2018-01-06 08:00:00",2018006,"08:00:00",13.23,6.58,21.48,500.9,0,15.52,65.68,0.24,0,NA
"C7300810","2018-01-06 09:00:00",2018006,"09:00:00",13.54,9.2,26.71,500.8,0,8.94,227.8,0.48,0,NA
"C7300810","2018-01-06 10:00:00",2018006,"10:00:00",13.64,12.29,23.83,500.8,0,5.38,238.2,0.7,0,NA
"C7300810","2018-01-06 11:00:00",2018006,"11:00:00",13.73,15.48,10.22,500.8,0,15.97,8.17,0.89,0,NA
"C7300810","2018-01-06 12:00:00",2018006,"12:00:00",13.65,15.95,10.76,500.8,0,25.19,0.1,1.03,0,NA
"C7300810","2018-01-06 13:00:00",2018006,"13:00:00",13.63,17.36,10.19,500.8,0,23.21,0.34,1.12,0,NA
"C7300810","2018-01-06 14:00:00",2018006,"14:00:00",13.63,18.21,12.55,500.8,0,21.86,12.39,1.15,0,NA
"C7300810","2018-01-06 15:00:00",2018006,"15:00:00",13.63,17.68,13.56,500.9,0,27.34,6.92,1.1,0,NA
"C7300810","2018-01-06 16:00:00",2018006,"16:00:00",13.63,16.79,15.12,500.8,0,34.54,1.22,0.99,0,NA
"C7300810","2018-01-06 17:00:00",2018006,"17:00:00",13.63,17.17,19.17,500.8,0,32.73,9.65,0.82,0,NA
"C7300810","2018-01-06 18:00:00",2018006,"18:00:00",13.63,16.28,20.75,500.8,0,28.66,32.87,0.6,0,NA
"C7300810","2018-01-06 19:00:00",2018006,"19:00:00",13.69,15.29,22.44,500.8,0,27.55,18.33,0.36,0,NA
"C7300810","2018-01-06 20:00:00",2018006,"20:00:00",13.29,13.59,23.22,500.7,0,24.84,5.51,0.02,0,NA
"C7300810","2018-01-06 21:00:00",2018006,"21:00:00",13.1,12.96,26.94,500.7,0,21.48,3.69,0,0,NA
"C7300810","2018-01-06 22:00:00",2018006,"22:00:00",13.06,12.48,25.62,500.7,0,18.73,337.6,0,0,NA
"C7300810","2018-01-06 23:00:00",2018006,"23:00:00",13.03,10.31,40.68,500.6,0,13.5,229.9,0,0,NA
"C7300810","2018-01-07 00:00:00",2018007,"00:00:00",13.01,9.2,44.4,500.6,0,9.25,243.2,0,0,NA
"C7300810","2018-01-07 01:00:00",2018007,"01:00:00",12.99,8.16,47.24,500.6,0,6.9,252.2,0,0,NA
"C7300810","2018-01-07 02:00:00",2018007,"02:00:00",12.96,6.37,51.26,500.6,0,3.26,21.91,0,0,NA
"C7300810","2018-01-07 03:00:00",2018007,"03:00:00",12.94,5.44,53.12,500.6,0,5.32,41.39,0,0,NA
"C7300810","2018-01-07 04:00:00",2018007,"04:00:00",12.91,5.06,54.21,500.6,0,7.12,55.58,0,0,NA
"C7300810","2018-01-07 05:00:00",2018007,"05:00:00",12.9,4.07,57.08,500.6,0,8.88,36.52,0,0,NA
"C7300810","2018-01-07 06:00:00",2018007,"06:00:00",12.88,3.7,57.89,500.6,0,8.88,65.54,0,0,NA
"C7300810","2018-01-07 07:00:00",2018007,"07:00:00",12.88,3.75,56.95,500.6,0,9.42,63.27,0.01,0,NA
"C7300810","2018-01-07 08:00:00",2018007,"08:00:00",13.18,6.62,47.18,500.8,0,9.52,87.6,0.23,0,NA
"C7300810","2018-01-07 09:00:00",2018007,"09:00:00",13.52,10.29,38.97,500.8,0,7.16,66.31,0.46,0,NA
"C7300810","2018-01-07 10:00:00",2018007,"10:00:00",13.64,13.5,31.92,500.8,0,2.5,84.1,0.68,0,NA
"C7300810","2018-01-07 11:00:00",2018007,"11:00:00",13.66,15,27.43,500.8,0,5.66,244.3,0.88,0,NA
"C7300810","2018-01-07 12:00:00",2018007,"12:00:00",13.54,18.48,18.62,500.9,0,4.52,20.94,1.03,0,NA
"C7300810","2018-01-07 13:00:00",2018007,"13:00:00",13.54,18.24,18.99,500.9,0,19.05,0,1.12,0,NA
"C7300810","2018-01-07 14:00:00",2018007,"14:00:00",13.58,18.81,16.09,500.9,0,22.63,8.31,1.15,0,NA
"C7300810","2018-01-07 15:00:00",2018007,"15:00:00",13.58,18,20.41,500.9,0,28.6,34.73,1.09,0,NA
"C7300810","2018-01-07 16:00:00",2018007,"16:00:00",13.59,17.52,16.19,500.9,0,28.06,348.9,1,0,NA
"C7300810","2018-01-07 17:00:00",2018007,"17:00:00",13.54,18.04,21.05,501,0,27.72,333.2,0.52,0,NA
"C7300810","2018-01-07 18:00:00",2018007,"18:00:00",13.57,17.57,24.15,500.9,0,25.89,12.14,0.6,0,NA
"C7300810","2018-01-07 19:00:00",2018007,"19:00:00",13.59,17.53,29.55,500.8,0,20.41,289,0.4,0,NA
"C7300810","2018-01-07 20:00:00",2018007,"20:00:00",13.66,14.25,40.16,500.8,0,22.68,253.6,0.08,0,NA
"C7300810","2018-01-07 21:00:00",2018007,"21:00:00",13.27,10.87,56.27,500.6,0,27.1,195.5,0,0,NA
"C7300810","2018-01-07 22:00:00",2018007,"22:00:00",13.07,7.03,86.9,500.6,0,24.23,221.2,0,0,NA
"C7300810","2018-01-07 23:00:00",2018007,"23:00:00",13.02,6.46,81.9,500.6,0,22.42,258.4,0,0,NA
"C7300810","2018-01-08 00:00:00",2018008,"00:00:00",12.99,6.27,83.4,500.6,0,20.11,217.6,0,0,NA
"C7300810","2018-01-08 01:00:00",2018008,"01:00:00",12.97,7.22,75.06,500.6,0,20.31,217.4,0,0,NA
"C7300810","2018-01-08 02:00:00",2018008,"02:00:00",12.96,6.51,80.9,500.6,0,17.04,243.7,0,0,NA
"C7300810","2018-01-08 03:00:00",2018008,"03:00:00",12.93,6.42,80.2,500.6,0,16.36,248.8,0,0,NA
"C7300810","2018-01-08 04:00:00",2018008,"04:00:00",12.92,6.51,78.27,500.6,0,14.87,223.2,0,0,NA
"C7300810","2018-01-08 05:00:00",2018008,"05:00:00",12.9,6.24,79.4,500.6,0,15.19,227.1,0,0,NA
"C7300810","2018-01-08 06:00:00",2018008,"06:00:00",12.88,6.05,80.9,500.6,0,14.08,235,0,0,NA
"C7300810","2018-01-08 07:00:00",2018008,"07:00:00",12.88,6.38,78.01,500.6,0,10.77,227.2,0.01,0,NA
"C7300810","2018-01-08 08:00:00",2018008,"08:00:00",13.07,7.04,73.99,500.7,0,4.65,85.7,0.21,0,NA
"C7300810","2018-01-08 09:00:00",2018008,"09:00:00",13.38,9.39,70.88,500.8,0,6.04,233.8,0.44,0,NA
"C7300810","2018-01-08 10:00:00",2018008,"10:00:00",13.57,11.35,57.01,500.8,0.51,14.78,216.1,0.66,0,NA
"C7300810","2018-01-08 11:00:00",2018008,"11:00:00",13.73,12.67,41.69,500.8,0.51,17.89,238.6,0.85,0,NA
"C7300810","2018-01-08 12:00:00",2018008,"12:00:00",13.76,15.01,36.14,500.8,0,15.34,240.8,1.03,0,NA
"C7300810","2018-01-08 13:00:00",2018008,"13:00:00",13.66,16.7,29.59,500.8,0.51,12.49,206,1.22,0,NA
"C7300810","2018-01-08 14:00:00",2018008,"14:00:00",13.62,15.85,32.26,500.8,0.51,9.86,0.12,0.13,0,NA
"C7300810","2018-01-08 15:00:00",2018008,"15:00:00",13.31,13.14,33.01,500.7,0.76,12.86,118.9,0.04,0,NA
"C7300810","2018-01-08 16:00:00",2018008,"16:00:00",13.26,11.16,44.56,500.7,0.25,13.82,127.3,0.11,0,NA
"C7300810","2018-01-08 17:00:00",2018008,"17:00:00",13.5,10.37,50.1,500.7,0.51,27.5,73.81,0.12,0,NA
"C7300810","2018-01-08 18:00:00",2018008,"18:00:00",14.02,9.84,53.81,500.7,0,8.99,233.6,0.23,0,NA
"C7300810","2018-01-08 19:00:00",2018008,"19:00:00",13.99,9.88,53.37,500.7,0,15.4,256.9,0.21,0,NA
"C7300810","2018-01-08 20:00:00",2018008,"20:00:00",13.79,8.57,62.15,500.6,0,17.57,221.3,0.07,0,NA
"C7300810","2018-01-08 21:00:00",2018008,"21:00:00",13.21,7.88,68.48,500.6,0,13.35,244.5,0,0,NA
"C7300810","2018-01-08 22:00:00",2018008,"22:00:00",13.05,7.46,72.23,500.6,0,4.7,354.5,0,0,NA
"C7300810","2018-01-08 23:00:00",2018008,"23:00:00",13.01,6.61,76.79,500.6,0,3.45,214.3,0,0,NA
"C7300810","2018-01-09 00:00:00",2018009,"00:00:00",12.98,5.82,81.1,500.6,0,3.82,353,0,0,NA
"C7300810","2018-01-09 01:00:00",2018009,"01:00:00",12.95,5.58,80.6,500.6,0,3.01,339.6,0,0,NA
"C7300810","2018-01-09 02:00:00",2018009,"02:00:00",12.93,4.3,85.4,500.6,0,3.84,50.64,0,0,NA
"C7300810","2018-01-09 03:00:00",2018009,"03:00:00",12.89,4.45,82.6,500.6,0,6.78,39.76,0,0,NA
"C7300810","2018-01-09 04:00:00",2018009,"04:00:00",12.86,3.32,85.7,500.6,0,4.71,66.24,0,0,NA
"C7300810","2018-01-09 05:00:00",2018009,"05:00:00",12.84,3.51,84.3,500.6,0,5.92,34.17,0,0,NA
"C7300810","2018-01-09 06:00:00",2018009,"06:00:00",12.84,3.18,81.5,500.6,0,7.76,26.07,0,0,NA
"C7300810","2018-01-09 07:00:00",2018009,"07:00:00",12.84,2.95,82.3,500.6,0,6.04,54.78,0.01,0,NA
"C7300810","2018-01-09 08:00:00",2018009,"08:00:00",13.1,4.88,73.7,500.8,0,7.71,60.96,0.22,0,NA
"C7300810","2018-01-09 09:00:00",2018009,"09:00:00",13.45,8.17,62.77,500.8,0,9.93,68.47,0.45,0,NA
"C7300810","2018-01-09 10:00:00",2018009,"10:00:00",13.6,12.01,45.33,500.8,0,9.66,87.3,0.68,0,NA
"C7300810","2018-01-09 11:00:00",2018009,"11:00:00",13.72,14.2,36.24,500.8,0,6.17,230.8,0.89,0,NA
"C7300810","2018-01-09 12:00:00",2018009,"12:00:00",13.65,16.04,29.56,500.8,0,10.61,208.6,1.12,0,NA
"C7300810","2018-01-09 13:00:00",2018009,"13:00:00",13.6,16.04,31.65,500.8,0,15.3,2.97,1.23,0,NA
"C7300810","2018-01-09 14:00:00",2018009,"14:00:00",13.63,16.47,32.46,500.8,0.25,23.66,354.6,1.17,0,NA
"C7300810","2018-01-09 15:00:00",2018009,"15:00:00",13.63,15.38,41.91,500.8,0.51,26.52,343.5,0.55,0,NA
"C7300810","2018-01-09 16:00:00",2018009,"16:00:00",13.72,13.4,45.93,500.8,0.25,30.02,8.22,0.2,0,NA
"C7300810","2018-01-09 17:00:00",2018009,"17:00:00",13.48,10.88,72.3,500.6,1.02,28.8,25.07,0.12,0,NA
"C7300810","2018-01-09 18:00:00",2018009,"18:00:00",13.16,8.59,71.38,500.6,2.29,19.76,114.6,0.04,0,NA
"C7300810","2018-01-09 19:00:00",2018009,"19:00:00",13.12,8.73,73.24,500.6,0.76,15.45,67.22,0.07,0,NA
"C7300810","2018-01-09 20:00:00",2018009,"20:00:00",13.12,8.59,74.25,500.6,0,15.81,74.85,0.06,0,NA
"C7300810","2018-01-09 21:00:00",2018009,"21:00:00",13.03,8.83,73.58,500.6,0,13.32,52.24,0,0,NA
"C7300810","2018-01-09 22:00:00",2018009,"22:00:00",13.01,7.03,84.3,500.6,0,10.49,237.3,0,0,NA
"C7300810","2018-01-09 23:00:00",2018009,"23:00:00",12.98,6.27,90.2,500.6,0,5.27,130.5,0,0,NA
"C7300810","2018-01-10 00:00:00",2018010,"00:00:00",12.95,6.42,85.8,500.6,0,2.26,15.03,0,0,NA
"C7300810","2018-01-10 01:00:00",2018010,"01:00:00",12.92,6.19,87.2,500.6,0,0.38,95.6,0,0,NA
"C7300810","2018-01-10 02:00:00",2018010,"02:00:00",12.89,6.66,85.2,500.6,0,1.05,198,0,0,NA
"C7300810","2018-01-10 03:00:00",2018010,"03:00:00",12.87,6.23,87.1,500.6,0,3.34,115.4,0,0,NA
"C7300810","2018-01-10 04:00:00",2018010,"04:00:00",12.86,6.1,90.4,500.6,0,1.63,334.1,0,0,NA
"C7300810","2018-01-10 05:00:00",2018010,"05:00:00",12.86,6.29,90.1,500.6,0,1.21,142.4,0,0,NA
"C7300810","2018-01-10 06:00:00",2018010,"06:00:00",12.85,6.19,90.4,500.6,0,0.76,284.5,0,0,NA
"C7300810","2018-01-10 07:00:00",2018010,"07:00:00",12.85,5.91,91.7,500.6,0,2.83,275.2,0,0,NA
"C7300810","2018-01-10 08:00:00",2018010,"08:00:00",12.89,6.28,93.2,500.6,0,2.89,168.9,0.05,0,NA
"C7300810","2018-01-10 09:00:00",2018010,"09:00:00",13.41,9.3,70.13,500.8,0,1.01,339.8,0.48,0,NA
"C7300810","2018-01-10 10:00:00",2018010,"10:00:00",13.72,10.69,67.75,500.8,0,3.63,281.3,0.71,0,NA
"C7300810","2018-01-10 11:00:00",2018010,"11:00:00",13.71,12.37,54.81,500.8,0.76,7.83,181.4,0.88,0,NA
"C7300810","2018-01-10 12:00:00",2018010,"12:00:00",13.66,14.96,41.98,500.8,0.76,3.88,176.9,1.02,0,NA
"C7300810","2018-01-10 13:00:00",2018010,"13:00:00",13.63,16.33,30.71,500.8,0.25,8.96,325.7,1.16,0,NA
"C7300810","2018-01-10 14:00:00",2018010,"14:00:00",13.63,15.52,36,500.8,1.27,22.13,2.18,1.16,0,NA
"C7300810","2018-01-10 15:00:00",2018010,"15:00:00",13.66,16.33,31.62,500.8,0.51,28.56,7.69,1.14,0,NA
"C7300810","2018-01-10 16:00:00",2018010,"16:00:00",13.66,15,31.28,500.8,0.25,28.35,21.27,0.33,0,NA
"C7300810","2018-01-10 17:00:00",2018010,"17:00:00",13.79,13.4,40.59,500.8,0,27.85,16.32,0.22,0,NA
"C7300810","2018-01-10 18:00:00",2018010,"18:00:00",13.82,13.5,45.12,500.8,0,25.59,67.69,0.55,0,NA
"C7300810","2018-01-10 19:00:00",2018010,"19:00:00",13.43,11.58,50.12,500.6,0,21.97,87.6,0.04,0,NA
"C7300810","2018-01-10 20:00:00",2018010,"20:00:00",13.25,11.44,48.91,500.7,0,21.43,76.28,0.04,0,NA
"C7300810","2018-01-10 21:00:00",2018010,"21:00:00",13.09,10.78,58.94,500.6,0,13.9,58.36,0,0,NA
"C7300810","2018-01-10 22:00:00",2018010,"22:00:00",13.05,9.81,64.39,500.6,0,14.74,70.09,0,0,NA
"C7300810","2018-01-10 23:00:00",2018010,"23:00:00",13.03,10.06,58.18,500.6,0,9.92,245.9,0,0,NA
"C7300810","2018-01-11 00:00:00",2018011,"00:00:00",13.02,8.64,66.15,500.6,0,6.95,230.7,0,0,NA
"C7300810","2018-01-11 01:00:00",2018011,"01:00:00",12.99,7.83,72.83,500.6,0,2.13,38.12,0,0,NA
"C7300810","2018-01-11 02:00:00",2018011,"02:00:00",12.97,6.09,79.76,500.6,0,6.79,60.04,0,0,NA
"C7300810","2018-01-11 03:00:00",2018011,"03:00:00",12.95,5.53,79.5,500.6,0,7.18,63.25,0,0,NA
"C7300810","2018-01-11 04:00:00",2018011,"04:00:00",12.93,4.64,82.6,500.6,0,7.17,62.01,0,0,NA
"C7300810","2018-01-11 05:00:00",2018011,"05:00:00",12.9,5.58,72.34,500.6,0,7.19,46.37,0,0,NA
"C7300810","2018-01-11 06:00:00",2018011,"06:00:00",12.88,4.44,77.88,500.6,0,8.11,36.97,0,0,NA
"C7300810","2018-01-11 07:00:00",2018011,"07:00:00",12.86,4.17,76.54,500.6,0,7.9,48.39,0.01,0,NA
"C7300810","2018-01-11 08:00:00",2018011,"08:00:00",13.1,6,66.63,500.7,0,7.94,27.79,0.21,0,NA
"C7300810","2018-01-11 09:00:00",2018011,"09:00:00",13.43,9.11,58.21,500.8,0,8.17,73.65,0.44,0,NA
"C7300810","2018-01-11 10:00:00",2018011,"10:00:00",13.57,12.06,49.32,500.8,0,6.71,70.27,0.67,0,NA
"C7300810","2018-01-11 11:00:00",2018011,"11:00:00",13.66,14.48,39.28,500.8,0,6.63,105.5,0.86,0,NA
"C7300810","2018-01-11 12:00:00",2018011,"12:00:00",13.63,16.84,18.83,500.8,0,7.74,2.25,1.01,0,NA
"C7300810","2018-01-11 13:00:00",2018011,"13:00:00",13.6,17.22,17.41,500.8,0,20.62,11.67,1.11,0,NA
"C7300810","2018-01-11 14:00:00",2018011,"14:00:00",13.63,18.03,18.9,500.8,0,21.22,292.6,1.13,0,NA
"C7300810","2018-01-11 15:00:00",2018011,"15:00:00",13.63,18.11,25.17,500.8,0.25,27.96,350,1.09,0,NA
"C7300810","2018-01-11 16:00:00",2018011,"16:00:00",13.59,18.2,26.45,500.8,0,29.16,354.5,0.99,0,NA
"C7300810","2018-01-11 17:00:00",2018011,"17:00:00",13.59,17.48,29.42,500.8,0,29,7.45,0.82,0,NA
"C7300810","2018-01-11 18:00:00",2018011,"18:00:00",13.63,16.08,39.21,500.8,0,28.56,38.86,0.64,0,NA
"C7300810","2018-01-11 19:00:00",2018011,"19:00:00",13.68,14.53,42.25,500.8,0,26.83,339.8,0.16,0,NA
"C7300810","2018-01-11 20:00:00",2018011,"20:00:00",13.36,14.06,40.32,500.8,0,24.16,21.04,0.03,0,NA
"C7300810","2018-01-11 21:00:00",2018011,"21:00:00",13.11,13.94,32.57,500.7,0,20.65,2.23,0,0,NA
"C7300810","2018-01-11 22:00:00",2018011,"22:00:00",13.06,13.57,28.69,500.7,0,20.3,344.5,0,0,NA
"C7300810","2018-01-11 23:00:00",2018011,"23:00:00",13.04,13.14,26.57,500.7,0,17.54,338.7,0,0,NA
