"Est","date","YJday","hh.mm.ss","bat.Volts","Temp_Aire","H_relativa","P_atm","Precip_Total","Vel_Viento","Dir_Viento","Irradiancia","Alt_NieveD","T_Suelo"
"C7300810","2018-01-03 00:00:00",2018003,"00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 01:00:00",2018003,"01:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 02:00:00",2018003,"02:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 03:00:00",2018003,"03:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 04:00:00",2018003,"04:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 05:00:00",2018003,"05:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 06:00:00",2018003,"06:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 07:00:00",2018003,"07:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 08:00:00",2018003,"08:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 09:00:00",2018003,"09:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 10:00:00",2018003,"10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 11:00:00",2018003,"11:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 12:00:00",2018003,"12:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 13:00:00",2018003,"13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 14:00:00",2018003,"14:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 15:00:00",2018003,"15:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7300810","2018-01-03 16:00:00",2018003,"16:00:00",13.78,13.82,31.15,500.9,0,0,34.48,1.07,0,0
"C7300810","2018-01-03 17:00:00",2018003,"17:00:00",13.82,12.4,35.36,500.8,0,0,24.61,0.22,0,NA
"C7300810","2018-01-03 18:00:00",2018003,"18:00:00",13.85,11.53,38.37,500.7,0,22.83,56.53,0.17,0,NA
"C7300810","2018-01-03 19:00:00",2018003,"19:00:00",13.59,10.83,38.35,500.7,0,24.58,57.57,0.1,0,NA
"C7300810","2018-01-03 20:00:00",2018003,"20:00:00",13.08,10.12,42.06,500.6,0,21.73,19.53,0.02,0,NA
"C7300810","2018-01-03 21:00:00",2018003,"21:00:00",12.79,9.38,45.17,500.6,0,21.7,21.1,0,0,NA
"C7300810","2018-01-03 22:00:00",2018003,"22:00:00",12.81,9.39,39.91,500.6,0,21.13,23.73,0,0,NA
"C7300810","2018-01-03 23:00:00",2018003,"23:00:00",12.81,8.97,36.57,500.6,0,22.79,9.35,0,0,NA
"C7300810","2018-01-04 00:00:00",2018004,"00:00:00",12.8,8.45,41.8,500.6,0,23.46,324.4,0,0,NA
"C7300810","2018-01-04 01:00:00",2018004,"01:00:00",12.8,8.64,33.13,500.6,0,23.33,336.6,0,0,NA
"C7300810","2018-01-04 02:00:00",2018004,"02:00:00",12.79,8.59,29.48,500.6,0,23.46,345.9,0,0,NA
"C7300810","2018-01-04 03:00:00",2018004,"03:00:00",12.78,8.83,25.05,500.6,0,26.11,0.17,0,0,NA
"C7300810","2018-01-04 04:00:00",2018004,"04:00:00",12.78,8.21,26.95,500.6,0,28.21,17.57,0,0,NA
"C7300810","2018-01-04 05:00:00",2018004,"05:00:00",12.77,8.07,28.2,500.6,0,26.6,5.68,0,0,NA
"C7300810","2018-01-04 06:00:00",2018004,"06:00:00",12.76,7.88,30.49,500.6,0,27.87,1.22,0,0,NA
"C7300810","2018-01-04 07:00:00",2018004,"07:00:00",12.76,7.69,22.35,500.6,0,27.44,7.67,0.01,0,NA
"C7300810","2018-01-04 08:00:00",2018004,"08:00:00",12.86,8.97,18.54,500.8,0,26.36,4.65,0.25,0,NA
"C7300810","2018-01-04 09:00:00",2018004,"09:00:00",12.95,10.22,15.02,500.8,0,30.77,23.1,0.48,0,NA
"C7300810","2018-01-04 10:00:00",2018004,"10:00:00",13.06,11.73,13.1,500.8,0,31.33,5.25,0.03,0,NA
"C7300810","2018-01-04 11:00:00",2018004,"11:00:00",13.19,12.94,15.05,500.8,0,29.88,78.31,0.89,0,NA
"C7300810","2018-01-04 12:00:00",2018004,"12:00:00",13.57,14.06,15.96,500.8,0,28.55,73.62,1.04,0,NA
"C7300810","2018-01-04 13:00:00",2018004,"13:00:00",13.59,13.96,16.77,500.8,0,26.91,61.02,1.12,0,NA
"C7300810","2018-01-04 14:00:00",2018004,"14:00:00",13.68,13.49,26.42,500.8,0,29.98,0.19,1.14,0,NA
"C7300810","2018-01-04 15:00:00",2018004,"15:00:00",13.72,14.15,29.56,500.8,0,32.62,2.01,1.18,0,NA
"C7300810","2018-01-04 16:00:00",2018004,"16:00:00",13.72,12.69,35.7,500.8,0,30.43,34.98,1.08,0,NA
"C7300810","2018-01-04 17:00:00",2018004,"17:00:00",13.72,12.83,32.39,500.8,0,30.62,55.75,0.93,0,NA
"C7300810","2018-01-04 18:00:00",2018004,"18:00:00",13.76,12.45,33.95,500.8,0,29.6,34.48,0.75,0,NA
"C7300810","2018-01-04 19:00:00",2018004,"19:00:00",13.68,11.24,37.8,500.6,0,27.7,80.3,0.11,0,NA
"C7300810","2018-01-04 20:00:00",2018004,"20:00:00",13.48,10.03,43.41,500.6,0,26.71,0.19,0.05,0,NA
